NEName,,SiteCode,SiteName,Vendor,Suffix,SiteCategory,Powertype,Area,Office,SiteSeverity
10819,LTE,0728UP,U_S_0728UP_6OCT-ESAAF-ST,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10835,LTE,0230UP,U_S_0230UP_6OCT-IND-WST,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10836,LTE,0053UP,U_W_0053UP_6OCT-IND-NTH,Huawei,W,VIP & NODAL,Main Power,Cairo West,October,Golden
10820,LTE,0741UP,U_S_0741UP_6OCT-IND-ZONE4,Huawei,S,Normal,Main Power,Cairo West,October,Silver
10966,LTE,0227UP,U_S_0227UP_REFAAI,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10913,LTE,0731UP,U_S_0731UP_6OCT-IND-ZONE1,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10821,LTE,0854UP,U_G_0854UP_6OCT-PG-2,Huawei,G,Normal,(1)G,Cairo West,October,Silver
10822,LTE,0395UP,U_G_0395UP_SOKARIA,Huawei,G,Normal,Main Power,Cairo West,October,Bronze
10247,LTE,0189CA,U_S_0189CA_KOM-AKHDAR,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10061,LTE,0351CA,U_N_0351CA_MASRI,Huawei,N,NODAL,Main Power,Cairo West,Mohandseen,Golden
10271,LTE,3814CA,U_S_3814CA_ARISH-ST,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10245,LTE,0342CA,U_N_0342CA_BAKARI,Huawei,N,NODAL,Main Power,Cairo West,Mohandseen,Silver
10244,LTE,0024CA,U_N_0024CA_HARAM,Huawei,N,NODAL,Main Power,Cairo West,Mohandseen,Golden
10050,LTE,0188CA,U_S_0188CA_TALBEYA-STH,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Silver
10246,LTE,0747CA,U_S_0747CA_TERSA2,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10574,LTE,0051UP,U_N_0051UP_6OCT-IND-STH,Huawei,N,NODAL,Main Power,Cairo West,October,Golden
10576,LTE,0727UP,U_S_0727UP_6OCT-IND-ZONE2,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10968,LTE,0391UP,U_S_0391UP_BASHAYER,Huawei,S,Normal,Main Power,Cairo West,October,Silver
10051,LTE,0340CA,U_S_0340CA_ABTAL,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Silver
10811,LTE,0268CA,U_S_0268CA_TAAWEN,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10384,LTE,0392UP,U_S_0392UP_MSA,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
10063,LTE,0810CA,U_G_0810CA_TALBEYA-MAIN,Huawei,G,Normal,Main Power,Cairo West,Mohandseen,Silver
10910,LTE,0558UP,U_V_0558UP_6OCT-NAGDA,Huawei,V,VIP,Main Power,Cairo West,October,Silver
10813,LTE,0567UP,U_S_0567UP_6OCT-DST2,Huawei,S,Normal,Main Power,Cairo West,October,Bronze
