SiteCode,TPG,Power Fees,Area,Host,Vfcode,Sharing Status,PowerSource,Year Target,CG Date,ON-AIR,Counting date
3109UP,GF,GF,UP,VF,3869,VF ON AIR,VF Commercial,2011,4-May-11,30-May-11,1-Jun-11
3320UP,GF,GF,UP,VF,3655,VF ON AIR,VF Commercial,2011,17-Mar-11,30-Apr-11,1-Apr-11
3495DE,GF,GF,DE,VF,D3105,VF ON AIR,VF Commercial,2011,9-Mar-11,29-Jun-11,1-Apr-11
3422UP,GF,GF,UP,VF,3886,VF ON AIR,VF Commercial,2011,4-May-11,30-Jun-11,1-Jun-11
3253DE,GF,GF,DE,VF,D3436,VF ON AIR,VF 50 KVA,2011,6-Mar-11,26-Apr-11,1-Apr-11
3520DE,GF,GF,DE,VF,D3360,VF ON AIR,VF Commercial,2011,17-Nov-11,21-Dec-11,1-Dec-11
3500UP,GF,GF,UP,VF,U4581,VF ON AIR,VF Commercial,2011,24-Aug-11,31-Oct-11,1-Sep-11
3502UP,GF,GF,UP,VF,U4933,VF ON AIR,VF Commercial,2011,23-May-11,26-Jun-11,1-Jun-11
3499UP,GF,GF,UP,VF,3586,VF ON AIR,VF Commercial,2011,11-Jul-11,30-Aug-11,1-Aug-11
3501UP,GF,GF,UP,VF,3015,VF ON AIR,VF Commercial,2011,11-Jul-11,29-Aug-11,1-Aug-11
3514UP,GF,GF,UP,VF,U4682,VF ON AIR,VF Commercial,2011,20-Jul-11,30-Sep-11,1-Aug-11
3515UP,GF,GF,UP,VF,U4676,VF ON AIR,VF Commercial,2011,20-Jul-11,30-Sep-11,1-Aug-11
3830DE,GF,GF,DE,VF,D3702,VF ON AIR,VF Commercial,2011,17-Nov-11,15-Dec-11,1-Dec-11
3087CA,GF,GF,CA,VF,100,VF ON AIR,VF Commercial,2011,18-Sep-11,24-Nov-11,1-Oct-11
3088CA,GF,GF,CA,VF,1236,VF ON AIR,VF Commercial,2012,19-Oct-11,29-Feb-12,1-Nov-11
3905DE,GF,GF,DE,VF,D3337,VF ON AIR,VF Commercial,2011,7-Dec-11,31-Dec-11,1-Jan-12
3821DE,GF,GF,DE,VF,D3183,VF ON AIR,VF 50 KVA,2011,23-Jun-11,29-Jul-11,1-Jul-11
3425DE,GF,GF,DE,VF,D3165,VF ON AIR,VF Commercial,2011,23-Jun-11,31-Jul-11,1-Jul-11
3493DE,GF,GF,DE,VF,5987,VF ON AIR,VF Commercial,2011,19-Jun-11,31-Jul-11,1-Jul-11
3199UP,GF,GF,UP,VF,3094,VF ON AIR,VF Commercial,2011,16-Jun-11,20-Nov-11,1-Jul-11
3545UP,GF,GF,UP,VF,3090,VF ON AIR,MN 27 KVA,2012,28-Sep-11,31-May-12,1-Nov-11
3539UP,GF,GF,UP,VF,U4474,VF ON AIR,VF Commercial,2012,12-Dec-11,11-Feb-12,1-Jan-12
3548UP,GF,GF,UP,VF,U4420,VF ON AIR,VF Commercial,2012,17-Nov-11,12-Jan-12,1-Dec-11
3222UP,GF,GF,UP,VF,6437,VF ON AIR,MN 27 KVA,2013,22-Aug-12,29-Jan-13,1-Sep-12
3536UP,GF,GF,UP,VF,6452,VF ON AIR,VF Commercial,2011,25-Jul-11,24-Sep-11,1-Aug-11
3535UP,GF,GF,UP,VF,6451,VF ON AIR,VF Commercial,2011,25-Jul-11,30-Sep-11,1-Aug-11
3534UP,GF,GF,UP,VF,6423,VF ON AIR,VF Commercial,2011,20-Oct-11,30-Nov-11,1-Nov-11
3528UP,GF,GF,UP,VF,U4516,VF ON AIR,VF Commercial,2011,8-Sep-11,30-Oct-11,1-Oct-11
3519UP,GF,GF,UP,VF,3178,VF ON AIR,VF Commercial,2011,17-Aug-11,11-Oct-11,1-Sep-11
0791DE,GF,GF,DE,VF,6314,VF ON AIR,1* VF 27 KVA,2011,20-Sep-11,18-Dec-11,1-Oct-11
3508DE,GF,GF,DE,VF,D3373,VF ON AIR,VF Commercial,2011,12-Jul-11,31-Jul-11,1-Aug-11
3300UP,GF,GF,UP,VF,U3964,VF ON AIR,MN 27 KVA,2011,11-Jul-11,22-Aug-11,1-Jul-11
3433UP,GF,GF,UP,VF,3797,VF ON AIR,VF Commercial,2011,22-Nov-11,28-Dec-11,1-Dec-11
3135UP,GF,GF,UP,VF,3616,VF ON AIR,VF Commercial,2011,28-Nov-11,31-Dec-11,1-Jan-12
3460UP,GF,GF,UP,VF,U4444,VF ON AIR,VF Commercial,2011,25-Jul-11,30-Aug-11,1-Aug-11
3563UP,GF,GF,UP,VF,U3903,VF ON AIR,VF Commercial,2011,20-Jul-11,12-Oct-11,1-Aug-11
